Perish the thought but when	1 0 1 0 0	perish the thought	figurative	case	VERB DET NOUN CCONJ ADV	▁Per ish ▁the ▁thought ▁but ▁when	1 1 0 1 0 0	VERB VERB DET NOUN CCONJ ADV
Perish the very thought.	1 0 0 1	perish the thought	figurative	combined-other	VERB DET ADV NOUN	▁Per ish ▁the ▁very ▁thought .	1 1 0 0 1 1	VERB VERB DET ADV NOUN NOUN
Not that she wanted him to contact her — perish the thought!	0 0 0 0 0 0 0 0 0 1 0 1	perish the thought	figurative	identical	ADV ADP PRON VERB PRON PART VERB ADJ PUNCT VERB DET NOUN	▁Not ▁that ▁she ▁wanted ▁him ▁to ▁contact ▁her ▁ — ▁perish ▁the ▁thought !	0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADV ADP PRON VERB PRON PART VERB ADJ PUNCT PUNCT VERB DET NOUN NOUN
Perish THE THOUGHT!	1 0 1	perish the thought	figurative	case	PROPN DET NOUN	▁Per ish ▁THE ▁T HO UGH T !	1 1 0 1 1 1 1 1	PROPN PROPN DET NOUN NOUN NOUN NOUN NOUN
They 're trying to arrange a ‘ mutually convenient’ date ( and in the back of their minds they also want it to still be on sky … so unless we both get knocked out of the FA cup this weekend ( perish the thought ) we 'll probably end up playing a saturday and the following monday if moneygrabber silver is owt to do with it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	perish the thought	figurative	identical	PRON VERB VERB PART VERB DET PUNCT ADV NOUN NOUN PUNCT CCONJ ADP DET NOUN ADP ADJ NOUN PRON ADV VERB PRON PART ADV VERB ADP NOUN PUNCT CCONJ ADP PRON DET VERB VERB ADP ADP DET PROPN NOUN DET NOUN PUNCT VERB DET NOUN PUNCT PRON VERB ADV VERB PART VERB DET NOUN CCONJ DET VERB PROPN ADP ADJ NOUN VERB VERB PART VERB ADP PRON	▁They ▁' re ▁trying ▁to ▁arrange ▁a ▁ ‘ ▁mutually ▁convenient ’ ▁date ▁( ▁and ▁in ▁the ▁back ▁of ▁their ▁minds ▁they ▁also ▁want ▁it ▁to ▁still ▁be ▁on ▁sky ▁... ▁so ▁unless ▁we ▁both ▁get ▁knock ed ▁out ▁of ▁the ▁FA ▁cup ▁this ▁weekend ▁( ▁perish ▁the ▁thought ▁ ) ▁we ▁' ll ▁probably ▁end ▁up ▁playing ▁a ▁s atur day ▁and ▁the ▁following ▁mon day ▁if ▁money gra b ber ▁silver ▁is ▁ ow t ▁to ▁do ▁with ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB PART VERB DET PUNCT PUNCT ADV NOUN NOUN NOUN PUNCT CCONJ ADP DET NOUN ADP ADJ NOUN PRON ADV VERB PRON PART ADV VERB ADP NOUN PUNCT CCONJ ADP PRON DET VERB VERB VERB ADP ADP DET PROPN NOUN DET NOUN PUNCT VERB DET NOUN PUNCT PUNCT PRON VERB VERB ADV VERB PART VERB DET NOUN NOUN NOUN CCONJ DET VERB PROPN PROPN ADP ADJ ADJ ADJ ADJ NOUN VERB VERB VERB VERB PART VERB ADP PRON PRON
Perish the awful thought.	1 0 0 1	perish the thought	figurative	combined-other	VERB DET ADJ NOUN	▁Per ish ▁the ▁awful ▁thought .	1 1 0 0 1 1	VERB VERB DET ADJ NOUN NOUN
If, perish the thought, Scotland were scarcely to win a ball from the lineout at Twickenham, this pack would probably still finish the championship having won more possession from that set - piece than any Scotland pack in living memory.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	perish the thought	figurative	identical	ADP VERB DET NOUN PROPN VERB ADV PART VERB DET NOUN ADP DET NOUN ADP PROPN DET NOUN VERB ADV ADV VERB DET NOUN VERB VERB ADJ NOUN ADP DET VERB PUNCT NOUN ADP DET PROPN NOUN ADP NOUN NOUN	▁If , ▁perish ▁the ▁thought , ▁Scotland ▁were ▁scarcely ▁to ▁win ▁a ▁ball ▁from ▁the ▁line out ▁at ▁T wick en ham , ▁this ▁pack ▁would ▁probably ▁still ▁finish ▁the ▁champion ship ▁having ▁won ▁more ▁possession ▁from ▁that ▁set ▁- ▁piece ▁than ▁any ▁Scotland ▁pack ▁in ▁living ▁memory .	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADP VERB DET NOUN NOUN PROPN VERB ADV PART VERB DET NOUN ADP DET NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN DET NOUN VERB ADV ADV VERB DET NOUN NOUN VERB VERB ADJ NOUN ADP DET VERB PUNCT NOUN ADP DET PROPN NOUN ADP NOUN NOUN NOUN
For months we said Microsoft Corp NT was gon na be big and fat and Microsoft said ' Perish the thought! '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	perish the thought	figurative	case	ADP NOUN PRON VERB PROPN PROPN PROPN VERB VERB PART VERB ADJ CCONJ ADJ CCONJ PROPN VERB PUNCT PROPN DET NOUN PUNCT	▁For ▁months ▁we ▁said ▁Microsoft ▁Corp ▁NT ▁was ▁ gon ▁na ▁be ▁big ▁and ▁fat ▁and ▁Microsoft ▁said ▁' ▁Per ish ▁the ▁thought ! ▁'	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0	ADP NOUN PRON VERB PROPN PROPN PROPN VERB VERB VERB PART VERB ADJ CCONJ ADJ CCONJ PROPN VERB PUNCT PROPN PROPN DET NOUN NOUN PUNCT
Of course, I am not suggesting that women should give in to biology ( perish the thought ), but that PMS is not quite the pathological state that a few health experts would appear to be suggesting.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	perish the thought	figurative	identical	ADV ADV PRON VERB ADV VERB ADP NOUN VERB VERB PART ADP NOUN PUNCT VERB DET NOUN PUNCT CCONJ ADP PROPN VERB ADV ADJ DET ADJ NOUN ADP DET ADJ NOUN NOUN VERB VERB PART VERB VERB	▁Of ▁course , ▁I ▁am ▁not ▁suggest ing ▁that ▁women ▁should ▁give ▁in ▁to ▁biology ▁( ▁perish ▁the ▁thought ▁ ), ▁but ▁that ▁PM S ▁is ▁not ▁quite ▁the ▁pathological ▁state ▁that ▁a ▁few ▁health ▁experts ▁would ▁appear ▁to ▁be ▁suggest ing .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV PRON VERB ADV VERB VERB ADP NOUN VERB VERB PART ADP NOUN PUNCT VERB DET NOUN PUNCT PUNCT CCONJ ADP PROPN PROPN VERB ADV ADJ DET ADJ NOUN ADP DET ADJ NOUN NOUN VERB VERB PART VERB VERB VERB VERB
Perish the thought, pal.	1 0 1 0	perish the thought	figurative	case	VERB DET NOUN NOUN	▁Per ish ▁the ▁thought , ▁p al .	1 1 0 1 1 0 0 0	VERB VERB DET NOUN NOUN NOUN NOUN NOUN
He wasn't out to get drunk — perish the thought!— but to savour the unique individuality of each wine to the full.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	perish the thought	figurative	dashes	PRON VERB PART PART VERB ADJ PUNCT VERB DET NOUN CCONJ PART VERB DET ADJ NOUN ADP DET NOUN ADP DET ADJ	▁He ▁was n ' t ▁out ▁to ▁get ▁drunk ▁ — ▁perish ▁the ▁thought ! — ▁but ▁to ▁sa vour ▁the ▁unique ▁individual ity ▁of ▁each ▁wine ▁to ▁the ▁full .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB VERB PART PART VERB ADJ PUNCT PUNCT VERB DET NOUN NOUN NOUN CCONJ PART VERB VERB DET ADJ NOUN NOUN ADP DET NOUN ADP DET ADJ ADJ
