Money changes hands and everyone is delighted.’	0 1 1 0 0 0 0	change hands	figurative	inflection	NOUN VERB NOUN CCONJ NOUN VERB NOUN	▁Money ▁changes ▁hands ▁and ▁everyone ▁is ▁delighted . ’	0 1 1 0 0 0 0 0 0	NOUN VERB NOUN CCONJ NOUN VERB NOUN NOUN NOUN
All the existing Sundays except the News of the World ( six out of seven ) changed hands between 1981 and 1985.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	change hands	figurative	inflection	ADJ DET VERB NOUN ADP DET PROPN ADP DET PROPN PUNCT NUM ADP ADP NUM PUNCT VERB NOUN ADP NUM CCONJ NUM	▁All ▁the ▁existing ▁Sunday s ▁except ▁the ▁News ▁of ▁the ▁World ▁( ▁six ▁out ▁of ▁seven ▁ ) ▁changed ▁hands ▁between ▁1981 ▁and ▁1985.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	ADJ DET VERB NOUN NOUN ADP DET PROPN ADP DET PROPN PUNCT NUM ADP ADP NUM PUNCT PUNCT VERB NOUN ADP NUM CCONJ NUM
Foaled in 1975 and humbly bred, John Henry changed hands three times before reaching Dot and Sam Rubin's Dotsam Stables ( Sam Rubin bought the horse unseen over the phone, and did not at the time know that his new purchase was a gelding ).	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	VERB ADP NUM CCONJ ADV VERB PROPN PROPN VERB NOUN NUM NOUN ADP VERB PROPN CCONJ PROPN PROPN PROPN PROPN PUNCT PROPN PROPN VERB DET NOUN ADJ ADP DET NOUN CCONJ VERB ADV ADP DET NOUN VERB ADP ADJ ADJ NOUN VERB DET VERB PUNCT	▁Fo al ed ▁in ▁1975 ▁and ▁hum b ly ▁ bred , ▁John ▁Henry ▁changed ▁hands ▁three ▁times ▁before ▁reaching ▁Do t ▁and ▁Sam ▁Rub in ' s ▁Do ts am ▁S table s ▁( ▁Sam ▁Rub in ▁bought ▁the ▁horse ▁un seen ▁over ▁the ▁phone , ▁and ▁did ▁not ▁at ▁the ▁time ▁know ▁that ▁his ▁new ▁purchase ▁was ▁a ▁gel d ing ▁ ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB VERB ADP NUM CCONJ ADV ADV ADV VERB VERB VERB PROPN PROPN VERB NOUN NUM NOUN ADP VERB PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PUNCT PROPN PROPN PROPN VERB DET NOUN ADJ ADJ ADP DET NOUN NOUN CCONJ VERB ADV ADP DET NOUN VERB ADP ADJ ADJ NOUN VERB DET VERB VERB VERB PUNCT PUNCT
Fighting in the north was seldom on the same massive scale as in the centre and south, although this sector had its share of offensives as mountaintops commanding important centres like Suleimaniyah and Haj Omran changed hands.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	change hands	figurative	inflection	VERB ADP DET NOUN VERB ADV ADP DET ADJ ADJ NOUN ADP ADP DET NOUN CCONJ NOUN ADP DET NOUN VERB ADJ NOUN ADP NOUN ADP NOUN VERB ADJ NOUN ADP PROPN CCONJ PROPN PROPN VERB NOUN	▁Fight ing ▁in ▁the ▁north ▁was ▁seldom ▁on ▁the ▁same ▁massive ▁scale ▁as ▁in ▁the ▁centre ▁and ▁south , ▁although ▁this ▁sector ▁had ▁its ▁share ▁of ▁offensive s ▁as ▁mountain top s ▁command ing ▁important ▁centres ▁like ▁Sul ei man iya h ▁and ▁H aj ▁O m ran ▁changed ▁hands .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	VERB VERB ADP DET NOUN VERB ADV ADP DET ADJ ADJ NOUN ADP ADP DET NOUN CCONJ NOUN NOUN ADP DET NOUN VERB ADJ NOUN ADP NOUN NOUN ADP NOUN NOUN NOUN VERB VERB ADJ NOUN ADP PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN VERB NOUN NOUN
‘ I 'd no idea the place had changed hands.	0 0 0 0 0 0 0 0 1 1	change hands	figurative	inflection	PUNCT PRON VERB DET NOUN DET NOUN VERB VERB NOUN	▁ ‘ ▁I ▁' d ▁no ▁idea ▁the ▁place ▁had ▁changed ▁hands .	0 0 0 0 0 0 0 0 0 0 1 1 1	PUNCT PUNCT PRON VERB VERB DET NOUN DET NOUN VERB VERB NOUN NOUN
it could have been just because it's, just had just newly changed hands and it might have	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	change hands	figurative	inflection	PRON VERB VERB VERB ADV ADP PRON ADV VERB ADV ADV VERB NOUN CCONJ PRON VERB VERB	▁it ▁could ▁have ▁been ▁just ▁because ▁it ' s , ▁just ▁had ▁just ▁newly ▁changed ▁hands ▁and ▁it ▁might ▁have	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	PRON VERB VERB VERB ADV ADP PRON PRON PRON PRON ADV VERB ADV ADV VERB NOUN CCONJ PRON VERB VERB
Peasants may have been keen to enlist because they were genuinely patriotic, but their mood was invariably febrile when the throne changed hands.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	change hands	figurative	inflection	NOUN VERB VERB VERB ADJ PART VERB ADP PRON VERB ADV ADJ CCONJ ADJ NOUN VERB ADV ADJ ADV DET NOUN VERB NOUN	▁Peas ants ▁may ▁have ▁been ▁keen ▁to ▁en list ▁because ▁they ▁were ▁genuine ly ▁ patri otic , ▁but ▁their ▁mood ▁was ▁invariabl y ▁febr ile ▁when ▁the ▁throne ▁changed ▁hands .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	NOUN NOUN VERB VERB VERB ADJ PART VERB VERB ADP PRON VERB ADV ADV ADJ ADJ ADJ ADJ CCONJ ADJ NOUN VERB ADV ADV ADJ ADJ ADV DET NOUN VERB NOUN NOUN
Even so, where money changes hands, it is part of an exchange and thus an expression of the social relationship which exists between the two individuals concerned.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	ADV ADV ADV NOUN VERB NOUN PRON VERB NOUN ADP DET NOUN CCONJ ADV DET NOUN ADP DET ADJ NOUN ADJ VERB ADP DET NUM NOUN VERB	▁Even ▁so , ▁where ▁money ▁changes ▁hands , ▁it ▁is ▁part ▁of ▁an ▁exchange ▁and ▁thus ▁an ▁expression ▁of ▁the ▁social ▁relationship ▁which ▁exists ▁between ▁the ▁two ▁individuals ▁concerned .	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV ADV NOUN VERB NOUN NOUN PRON VERB NOUN ADP DET NOUN CCONJ ADV DET NOUN ADP DET ADJ NOUN ADJ VERB ADP DET NUM NOUN VERB VERB
Only when he stooped and some lire changed hands did she realise that he must be intending to walk back.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	ADV ADV PRON VERB CCONJ DET NOUN VERB NOUN VERB PRON VERB ADP PRON VERB VERB VERB PART VERB ADV	▁Only ▁when ▁he ▁sto op ed ▁and ▁some ▁l ire ▁changed ▁hands ▁did ▁she ▁realise ▁that ▁he ▁must ▁be ▁intend ing ▁to ▁walk ▁back .	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV PRON VERB VERB VERB CCONJ DET NOUN NOUN VERB NOUN VERB PRON VERB ADP PRON VERB VERB VERB VERB PART VERB ADV ADV
‘ Last I heard, the Eiffel Tower hadn't collapsed and neither had Rome been sacked by pagans because of money perhaps changing hands in return for playing rugby’, he says.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	change hands	figurative	inflection	PUNCT ADJ PRON VERB DET PROPN PROPN VERB VERB CCONJ DET VERB PROPN VERB VERB ADP NOUN ADP ADP NOUN ADV VERB NOUN ADP NOUN ADP VERB ADV PRON VERB	▁ ‘ ▁Last ▁I ▁heard , ▁the ▁E if fel ▁Tower ▁had n ' t ▁collapse d ▁and ▁neither ▁had ▁Rome ▁been ▁sack ed ▁by ▁p agan s ▁because ▁of ▁money ▁perhaps ▁changing ▁hands ▁in ▁return ▁for ▁playing ▁ rug by ’ , ▁he ▁says .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT ADJ PRON VERB VERB DET PROPN PROPN PROPN PROPN VERB VERB VERB VERB VERB VERB CCONJ DET VERB PROPN VERB VERB VERB ADP NOUN NOUN NOUN ADP ADP NOUN ADV VERB NOUN ADP NOUN ADP VERB ADV ADV ADV ADV ADV PRON VERB VERB
Some people change their guard hands as they step, but this curtails the punch's potential.	0 0 1 0 0 1 0 0 0 0 0 0 0 0 0	change hands	literal	insertion-other	DET NOUN VERB ADJ NOUN NOUN ADP PRON VERB CCONJ DET VERB DET NOUN NOUN	▁Some ▁people ▁change ▁their ▁guard ▁hands ▁as ▁they ▁step , ▁but ▁this ▁curtail s ▁the ▁punch ' s ▁potential .	0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB ADJ NOUN NOUN ADP PRON VERB VERB CCONJ DET VERB VERB DET NOUN NOUN NOUN NOUN NOUN
