The right hon. Gentleman might look close to home before he makes that general assertion.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	close to home	figurative	identical	DET ADJ NOUN PROPN VERB VERB ADV ADP NOUN ADP PRON VERB DET ADJ NOUN	▁The ▁right ▁ hon . ▁Gen tle man ▁might ▁look ▁close ▁to ▁home ▁before ▁he ▁makes ▁that ▁general ▁assertion .	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	DET ADJ NOUN NOUN NOUN PROPN PROPN PROPN VERB VERB ADV ADP NOUN ADP PRON VERB DET ADJ NOUN NOUN
Anything to get closer to home … stalling tactics …	0 0 0 1 1 1 0 0 0 0	close to home	figurative	misc	NOUN PART VERB ADJ ADP NOUN PUNCT VERB NOUN PUNCT	▁Any thing ▁to ▁get ▁closer ▁to ▁home ▁... ▁stall ing ▁tactic s ▁...	0 0 0 0 1 1 1 0 0 0 0 0 0	NOUN NOUN PART VERB ADJ ADP NOUN PUNCT VERB VERB NOUN NOUN PUNCT
A lot of Alfie's adventures are shared by his little sister Annie Rose, but it is Dad who takes him camping, very close to home.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	close to home	literal	identical	DET NOUN ADP PROPN NOUN VERB VERB ADP ADJ ADJ NOUN PROPN PROPN CCONJ PRON VERB PROPN NOUN VERB PRON VERB ADV ADV ADP NOUN	▁A ▁lot ▁of ▁Al fi e ' s ▁adventure s ▁are ▁shared ▁by ▁his ▁little ▁sister ▁An nie ▁Rose , ▁but ▁it ▁is ▁Da d ▁who ▁takes ▁him ▁camp ing , ▁very ▁close ▁to ▁home .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	DET NOUN ADP PROPN PROPN PROPN PROPN PROPN NOUN NOUN VERB VERB ADP ADJ ADJ NOUN PROPN PROPN PROPN PROPN CCONJ PRON VERB PROPN PROPN NOUN VERB PRON VERB VERB VERB ADV ADV ADP NOUN NOUN
In a way Mark was too close to home, too much a part of the world whose foundations had just been rocked, yet somehow on the outside.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	close to home	figurative	identical	ADP DET NOUN PROPN VERB ADV ADJ ADP NOUN ADV ADV DET NOUN ADP DET NOUN ADJ NOUN VERB ADV VERB VERB CCONJ ADV ADP DET NOUN	▁In ▁a ▁way ▁Mark ▁was ▁too ▁close ▁to ▁home , ▁too ▁much ▁a ▁part ▁of ▁the ▁world ▁whose ▁foundations ▁had ▁just ▁been ▁rock ed , ▁yet ▁somehow ▁on ▁the ▁outside .	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN PROPN VERB ADV ADJ ADP NOUN NOUN ADV ADV DET NOUN ADP DET NOUN ADJ NOUN VERB ADV VERB VERB VERB VERB CCONJ ADV ADP DET NOUN NOUN
In 1649 the government of the Republic was not at all sure that it could assert its authority over distant colonies ; it had too many problems close to home.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	close to home	figurative	identical	ADP NUM DET NOUN ADP DET PROPN VERB ADV ADV ADV ADJ ADP PRON VERB VERB ADJ NOUN ADP ADJ NOUN PUNCT PRON VERB ADV ADJ NOUN ADJ ADP NOUN	▁In ▁16 49 ▁the ▁government ▁of ▁the ▁Republic ▁was ▁not ▁at ▁all ▁sure ▁that ▁it ▁could ▁assert ▁its ▁authority ▁over ▁distant ▁colonies ▁ ; ▁it ▁had ▁too ▁many ▁problems ▁close ▁to ▁home .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP NUM NUM DET NOUN ADP DET PROPN VERB ADV ADV ADV ADJ ADP PRON VERB VERB ADJ NOUN ADP ADJ NOUN PUNCT PUNCT PRON VERB ADV ADJ NOUN ADJ ADP NOUN NOUN
‘ I didn't know I could have such a good time so close to home.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	close to home	literal	identical	PUNCT PRON VERB VERB PRON VERB VERB ADJ DET ADJ NOUN ADV ADV ADP NOUN	▁ ‘ ▁I ▁did n ' t ▁know ▁I ▁could ▁have ▁such ▁a ▁good ▁time ▁so ▁close ▁to ▁home .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PUNCT PUNCT PRON VERB VERB VERB VERB VERB PRON VERB VERB ADJ DET ADJ NOUN ADV ADV ADP NOUN NOUN
After the disaster, Pitsligo spent many years in hiding, close to his old Buchan home.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 1	close to home	literal	insertion-other	ADP DET NOUN PROPN VERB ADJ NOUN ADP NOUN ADV ADP ADJ ADJ PROPN ADV	▁After ▁the ▁disaster , ▁P its lig o ▁spent ▁many ▁years ▁in ▁hiding , ▁close ▁to ▁his ▁old ▁Bu chan ▁home .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1	ADP DET NOUN NOUN PROPN PROPN PROPN PROPN VERB ADJ NOUN ADP NOUN NOUN ADV ADP ADJ ADJ PROPN PROPN ADV ADV
They are also close to the homes of staff and their families.	0 0 0 1 1 0 1 0 0 0 0 0	close to home	literal	combined-inflection	PRON VERB ADV ADJ ADP DET NOUN ADP NOUN CCONJ ADJ NOUN	▁They ▁are ▁also ▁close ▁to ▁the ▁homes ▁of ▁staff ▁and ▁their ▁families .	0 0 0 1 1 0 1 0 0 0 0 0 0	PRON VERB ADV ADJ ADP DET NOUN ADP NOUN CCONJ ADJ NOUN NOUN
She says it was too close to home and it could easily have been them.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	close to home	figurative	identical	PRON VERB PRON VERB ADV ADJ ADP NOUN CCONJ PRON VERB ADV VERB VERB PRON	▁She ▁says ▁it ▁was ▁too ▁close ▁to ▁home ▁and ▁it ▁could ▁easily ▁have ▁been ▁them .	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	PRON VERB PRON VERB ADV ADJ ADP NOUN CCONJ PRON VERB ADV VERB VERB PRON PRON
When Vietnam got nasty, many bands were finally forced out of their apathy as it became apparent that things like conscription were bringing matters pretty close to home.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	close to home	figurative	identical	ADV PROPN VERB ADJ ADJ NOUN VERB ADV VERB ADP ADP ADJ NOUN ADP PRON VERB ADJ ADP NOUN ADP NOUN VERB VERB NOUN ADV ADV ADP NOUN	▁When ▁Vietnam ▁got ▁na s ty , ▁many ▁bands ▁were ▁finally ▁forced ▁out ▁of ▁their ▁a pathy ▁as ▁it ▁became ▁apparent ▁that ▁things ▁like ▁con scription ▁were ▁bringing ▁matters ▁pretty ▁close ▁to ▁home .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADV PROPN VERB ADJ ADJ ADJ ADJ ADJ NOUN VERB ADV VERB ADP ADP ADJ NOUN NOUN ADP PRON VERB ADJ ADP NOUN ADP NOUN NOUN VERB VERB NOUN ADV ADV ADP NOUN NOUN
Anne Harper, until recently a senior executive with BP, heightened the feeling that there is a real and all - too - close - to - home problem when she compared her experience of working with the group's local company boards in Scandinavia, where partly due to the existence of worker representatives the woman board member is not an unusual phenomenon, and in the machismo - oriented ' southern Mediterranean countries of Portugal, Spain and the Republic of Ireland ' where it is — and promptly included her experiences in Scotland with the latter.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	close to home	figurative	dashes	PROPN PROPN ADP ADV DET ADJ NOUN ADP PROPN VERB DET NOUN ADP ADV VERB DET ADJ CCONJ ADV PUNCT ADV PUNCT ADV PUNCT ADP PUNCT NOUN NOUN ADV PRON VERB ADJ NOUN ADP VERB ADP DET NOUN ADJ NOUN NOUN ADP PROPN ADV ADV ADJ ADP DET NOUN ADP NOUN NOUN DET NOUN NOUN NOUN VERB ADV DET ADJ NOUN CCONJ ADP DET NOUN PUNCT VERB PUNCT ADJ PROPN NOUN ADP PROPN PROPN CCONJ DET PROPN ADP PROPN PUNCT ADV PRON VERB PUNCT CCONJ ADV VERB ADJ NOUN ADP PROPN ADP DET ADJ	▁Anne ▁Har per , ▁until ▁recently ▁a ▁senior ▁executive ▁with ▁BP , ▁heighten ed ▁the ▁feeling ▁that ▁there ▁is ▁a ▁real ▁and ▁all ▁- ▁too ▁- ▁close ▁- ▁to ▁- ▁home ▁problem ▁when ▁she ▁compared ▁her ▁experience ▁of ▁working ▁with ▁the ▁group ' s ▁local ▁company ▁boards ▁in ▁Scandinavia , ▁where ▁partly ▁due ▁to ▁the ▁existence ▁of ▁worker ▁representatives ▁the ▁woman ▁board ▁member ▁is ▁not ▁an ▁unusual ▁phenomenon , ▁and ▁in ▁the ▁m ach ism o ▁- ▁oriented ▁' ▁southern ▁Mediterranean ▁countries ▁of ▁Portugal , ▁Spain ▁and ▁the ▁Republic ▁of ▁Ireland ▁' ▁where ▁it ▁is ▁ — ▁and ▁promptly ▁included ▁her ▁experiences ▁in ▁Scotland ▁with ▁the ▁latter .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN ADP ADV DET ADJ NOUN ADP PROPN PROPN VERB VERB DET NOUN ADP ADV VERB DET ADJ CCONJ ADV PUNCT ADV PUNCT ADV PUNCT ADP PUNCT NOUN NOUN ADV PRON VERB ADJ NOUN ADP VERB ADP DET NOUN NOUN NOUN ADJ NOUN NOUN ADP PROPN PROPN ADV ADV ADJ ADP DET NOUN ADP NOUN NOUN DET NOUN NOUN NOUN VERB ADV DET ADJ NOUN NOUN CCONJ ADP DET NOUN NOUN NOUN NOUN PUNCT VERB PUNCT ADJ PROPN NOUN ADP PROPN PROPN PROPN CCONJ DET PROPN ADP PROPN PUNCT ADV PRON VERB PUNCT PUNCT CCONJ ADV VERB ADJ NOUN ADP PROPN ADP DET ADJ ADJ
