' Not that I 'm dropping hints, darling! '	0 0 0 0 0 1 1 0 0	drop a hint	figurative	combined-inflection	PUNCT ADV ADP PRON VERB VERB NOUN NOUN PUNCT	▁' ▁Not ▁that ▁I ▁' m ▁dropping ▁hint s , ▁dar ling ! ▁'	0 0 0 0 0 0 1 1 1 1 0 0 0 0	PUNCT ADV ADP PRON VERB VERB VERB NOUN NOUN NOUN NOUN NOUN NOUN PUNCT
Hints have been dropped that the two smaller islands, Shikotan and the Habomai rocks, might be returned — in line with the pledge that the Soviet Union made in 1956 but later withdrew.	1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	drop a hint	figurative	misc	NOUN VERB VERB VERB ADP DET NUM ADJ NOUN PROPN CCONJ DET PROPN NOUN VERB VERB VERB PUNCT ADP NOUN ADP DET NOUN ADP DET PROPN PROPN VERB ADP NUM CCONJ ADV VERB	▁H int s ▁have ▁been ▁dropped ▁that ▁the ▁two ▁smaller ▁islands , ▁Shi ko tan ▁and ▁the ▁Hab oma i ▁rock s , ▁might ▁be ▁returned ▁ — ▁in ▁line ▁with ▁the ▁pledge ▁that ▁the ▁Soviet ▁Union ▁made ▁in ▁1956 ▁but ▁later ▁withdrew .	1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN VERB VERB VERB ADP DET NUM ADJ NOUN NOUN PROPN PROPN PROPN CCONJ DET PROPN PROPN PROPN NOUN NOUN NOUN VERB VERB VERB PUNCT PUNCT ADP NOUN ADP DET NOUN ADP DET PROPN PROPN VERB ADP NUM CCONJ ADV VERB VERB
I talk to her quite often, so I 'll have to start dropping hints about tickets.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	drop a hint	figurative	combined-inflection	PRON VERB ADP PRON ADV ADV CCONJ PRON VERB VERB PART VERB VERB NOUN ADP NOUN	▁I ▁talk ▁to ▁her ▁quite ▁often , ▁so ▁I ▁' ll ▁have ▁to ▁start ▁dropping ▁hint s ▁about ▁tickets .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	PRON VERB ADP PRON ADV ADV ADV CCONJ PRON VERB VERB VERB PART VERB VERB NOUN NOUN ADP NOUN NOUN
As the weeks had gone by the other girl had dropped more and more blatant hints about the fact that she was having an affair with her employer.	0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	drop a hint	figurative	combined-inflection	ADP DET NOUN VERB VERB ADP DET ADJ NOUN VERB VERB ADJ CCONJ ADJ ADJ NOUN ADP DET NOUN ADP PRON VERB VERB DET NOUN ADP ADJ NOUN	▁As ▁the ▁weeks ▁had ▁gone ▁by ▁the ▁other ▁girl ▁had ▁dropped ▁more ▁and ▁more ▁blatant ▁hint s ▁about ▁the ▁fact ▁that ▁she ▁was ▁having ▁an ▁affair ▁with ▁her ▁employer .	0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN VERB VERB ADP DET ADJ NOUN VERB VERB ADJ CCONJ ADJ ADJ NOUN NOUN ADP DET NOUN ADP PRON VERB VERB DET NOUN ADP ADJ NOUN NOUN
I 'll drop hints if I can.	0 0 1 1 0 0 0	drop a hint	figurative	deletion-determiner	PRON VERB VERB NOUN ADP PRON VERB	▁I ▁' ll ▁drop ▁hint s ▁if ▁I ▁can .	0 0 0 1 1 1 0 0 0 0	PRON VERB VERB VERB NOUN NOUN ADP PRON VERB VERB
And although he refused to criticise Mr Delors, he dropped enough hints to imply the Prime Minister had some stern even harsh words to address to him.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	drop a hint	figurative	combined-inflection	CCONJ ADP PRON VERB PART VERB PROPN PROPN PRON VERB ADJ NOUN PART VERB DET PROPN PROPN VERB DET ADJ ADV ADJ NOUN PART VERB ADP PRON	▁And ▁although ▁he ▁refused ▁to ▁criticise ▁Mr ▁D elors , ▁he ▁dropped ▁enough ▁hint s ▁to ▁imply ▁the ▁Prime ▁Minister ▁had ▁some ▁stern ▁even ▁harsh ▁words ▁to ▁address ▁to ▁him .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADP PRON VERB PART VERB PROPN PROPN PROPN PROPN PRON VERB ADJ NOUN NOUN PART VERB DET PROPN PROPN VERB DET ADJ ADV ADJ NOUN PART VERB ADP PRON PRON
Unless, that is, you can drop enormous hints with family - size bottles of Head and Shoulders, biological washing powder and a nail brush the size of a hedgehog.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	drop a hint	figurative	determiner-broad	ADP ADV ADV PRON VERB VERB ADJ NOUN ADP NOUN PUNCT NOUN NOUN ADP PROPN CCONJ PROPN ADJ NOUN NOUN CCONJ DET NOUN NOUN DET NOUN ADP DET NOUN	▁Unless , ▁that ▁is , ▁you ▁can ▁drop ▁enormous ▁hint s ▁with ▁family ▁- ▁size ▁bottles ▁of ▁Head ▁and ▁Should ers , ▁biological ▁washing ▁powder ▁and ▁a ▁nail ▁brush ▁the ▁size ▁of ▁a ▁hedge ho g .	0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADP ADV ADV ADV PRON VERB VERB ADJ NOUN NOUN ADP NOUN PUNCT NOUN NOUN ADP PROPN CCONJ PROPN PROPN PROPN ADJ NOUN NOUN CCONJ DET NOUN NOUN DET NOUN ADP DET NOUN NOUN NOUN NOUN
Unless you think it's really necessary and then you may drop a hint.	0 0 0 0 0 0 0 0 0 0 1 0 1	drop a hint	figurative	identical	ADP PRON VERB PRON ADV ADJ CCONJ ADV PRON VERB VERB DET NOUN	▁Unless ▁you ▁think ▁it ' s ▁really ▁necessary ▁and ▁then ▁you ▁may ▁drop ▁a ▁hint .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP PRON VERB PRON PRON PRON ADV ADJ CCONJ ADV PRON VERB VERB DET NOUN NOUN
' No — but you dropped a dirty big hint that it's time I was married, ' he snapped tersely.	0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0	drop a hint	figurative	combined-inflection	PUNCT INTJ PUNCT CCONJ PRON VERB DET ADJ ADJ NOUN ADP PRON NOUN PRON VERB VERB PUNCT PRON VERB ADV	▁' ▁No ▁ — ▁but ▁you ▁dropped ▁a ▁dirty ▁big ▁hint ▁that ▁it ' s ▁time ▁I ▁was ▁married , ▁' ▁he ▁snap ped ▁ter se ly .	0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT INTJ PUNCT PUNCT CCONJ PRON VERB DET ADJ ADJ NOUN ADP PRON PRON PRON NOUN PRON VERB VERB VERB PUNCT PRON VERB VERB ADV ADV ADV ADV
Back in June ( UX No 387 ), Hewlett - Packard Co was dropping large hints that it would be announcing and delivering new Snake workstations and upgrades based upon its next - generation PA RISC 7110 chip, Thunderbird, sometime before its fiscal year ends in October.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	drop a hint	figurative	combined-inflection	ADV ADP PROPN PUNCT PROPN PROPN NUM PUNCT PROPN PUNCT PROPN PROPN VERB VERB ADJ NOUN ADP PRON VERB VERB VERB CCONJ VERB ADJ PROPN NOUN CCONJ NOUN VERB ADP ADJ ADJ PUNCT NOUN PROPN PROPN NUM NOUN PROPN ADV ADP ADJ ADJ NOUN VERB ADP PROPN	▁Back ▁in ▁June ▁( ▁ UX ▁No ▁3 87 ▁ ), ▁He wl ett ▁- ▁Pack ard ▁Co ▁was ▁dropping ▁large ▁hint s ▁that ▁it ▁would ▁be ▁announcing ▁and ▁delivering ▁new ▁S n ake ▁workstations ▁and ▁upgrade s ▁based ▁upon ▁its ▁next ▁- ▁generation ▁PA ▁RIS C ▁7 110 ▁ chip , ▁Th under bi rd , ▁some time ▁before ▁its ▁fiscal ▁year ▁ends ▁in ▁October .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADP PROPN PUNCT PROPN PROPN PROPN NUM NUM PUNCT PUNCT PROPN PROPN PROPN PUNCT PROPN PROPN PROPN VERB VERB ADJ NOUN NOUN ADP PRON VERB VERB VERB CCONJ VERB ADJ PROPN PROPN PROPN NOUN CCONJ NOUN NOUN VERB ADP ADJ ADJ PUNCT NOUN PROPN PROPN PROPN NUM NUM NOUN NOUN NOUN PROPN PROPN PROPN PROPN PROPN ADV ADV ADP ADJ ADJ NOUN VERB ADP PROPN PROPN
At the most he dropped hints that if I did my job and toed the line he would look after me. '	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	drop a hint	figurative	combined-inflection	ADP DET ADJ PRON VERB NOUN ADP ADP PRON VERB ADJ NOUN CCONJ VERB DET NOUN PRON VERB VERB ADP PRON PUNCT	▁At ▁the ▁most ▁he ▁dropped ▁hint s ▁that ▁if ▁I ▁did ▁my ▁job ▁and ▁to ed ▁the ▁line ▁he ▁would ▁look ▁after ▁me . ▁'	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ PRON VERB NOUN NOUN ADP ADP PRON VERB ADJ NOUN CCONJ VERB VERB DET NOUN PRON VERB VERB ADP PRON PRON PUNCT
