Last year Alain beat me fair and square.	0 0 0 0 0 1 1 1	fair and square	figurative	identical	ADJ NOUN PROPN VERB PRON ADJ CCONJ ADJ	▁Last ▁year ▁A lain ▁beat ▁me ▁fair ▁and ▁square .	0 0 0 0 0 0 1 1 1 1	ADJ NOUN PROPN PROPN VERB PRON ADJ CCONJ ADJ ADJ
‘ As far as we were concerned Tblisi had won the tie fair and square.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	fair and square	figurative	identical	PUNCT ADV ADV ADP PRON VERB VERB PROPN VERB VERB DET NOUN ADJ CCONJ ADJ	▁ ‘ ▁As ▁far ▁as ▁we ▁were ▁concerned ▁T b lis i ▁had ▁won ▁the ▁tie ▁fair ▁and ▁square .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PUNCT PUNCT ADV ADV ADP PRON VERB VERB PROPN PROPN PROPN PROPN VERB VERB DET NOUN ADJ CCONJ ADJ ADJ
Time to put it to him, fair and square, I 'd say.	0 0 0 0 0 0 1 1 1 0 0 0	fair and square	figurative	identical	NOUN PART VERB PRON ADP PRON ADJ CCONJ ADJ PRON VERB VERB	▁Time ▁to ▁put ▁it ▁to ▁him , ▁fair ▁and ▁square , ▁I ▁' d ▁say .	0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	NOUN PART VERB PRON ADP PRON PRON ADJ CCONJ ADJ ADJ PRON VERB VERB VERB VERB
Advertising is not alone in offering a fair and square deal to women, for public relations and other service industries in the communication field all offer unrivalled opportunities for women to complete on real and equal terms with men.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fair and square	figurative	identical	NOUN VERB ADV ADJ ADP VERB DET ADJ CCONJ ADJ NOUN ADP NOUN ADP ADJ NOUN CCONJ ADJ NOUN NOUN ADP DET NOUN NOUN DET VERB ADJ NOUN ADP NOUN PART VERB ADP ADJ CCONJ ADJ NOUN ADP NOUN	▁Advertising ▁is ▁not ▁alone ▁in ▁offering ▁a ▁fair ▁and ▁square ▁deal ▁to ▁women , ▁for ▁public ▁relations ▁and ▁other ▁service ▁industries ▁in ▁the ▁communication ▁field ▁all ▁offer ▁un riva lled ▁opportunities ▁for ▁women ▁to ▁complete ▁on ▁real ▁and ▁equal ▁terms ▁with ▁men .	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN VERB ADV ADJ ADP VERB DET ADJ CCONJ ADJ NOUN ADP NOUN NOUN ADP ADJ NOUN CCONJ ADJ NOUN NOUN ADP DET NOUN NOUN DET VERB ADJ ADJ ADJ NOUN ADP NOUN PART VERB ADP ADJ CCONJ ADJ NOUN ADP NOUN NOUN
I just didn't want to fill that, I wanna win fair and square	0 0 0 0 0 0 0 0 0 0 1 1 1	fair and square	figurative	identical	PRON ADV VERB VERB PART VERB DET PRON VERB VERB ADJ CCONJ ADJ	▁I ▁just ▁did n ' t ▁want ▁to ▁fill ▁that , ▁I ▁w anna ▁win ▁fair ▁and ▁square	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	PRON ADV VERB VERB VERB VERB VERB PART VERB DET DET PRON VERB VERB VERB ADJ CCONJ ADJ
‘ You got me fair and square,’ I told him.	0 0 0 0 1 1 1 0 0 0	fair and square	figurative	dashes	PUNCT PRON VERB PRON ADJ CCONJ PROPN PRON VERB PRON	▁ ‘ ▁You ▁got ▁me ▁fair ▁and ▁square , ’ ▁I ▁told ▁him .	0 0 0 0 0 1 1 1 1 1 0 0 0 0	PUNCT PUNCT PRON VERB PRON ADJ CCONJ PROPN PROPN PROPN PRON VERB PRON PRON
By so doing they colluded in the evils that they would have wished to remedy had they faced them fair and square.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	fair and square	figurative	identical	ADP ADV VERB PRON VERB ADP DET NOUN ADP PRON VERB VERB VERB PART VERB VERB PRON VERB PRON ADJ CCONJ ADJ	▁By ▁so ▁doing ▁they ▁col lude d ▁in ▁the ▁evil s ▁that ▁they ▁would ▁have ▁wished ▁to ▁remedy ▁had ▁they ▁faced ▁them ▁fair ▁and ▁square .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP ADV VERB PRON VERB VERB VERB ADP DET NOUN NOUN ADP PRON VERB VERB VERB PART VERB VERB PRON VERB PRON ADJ CCONJ ADJ ADJ
If you want her, you can fight for her and win her fair and square, and no more sneaking in at doors before honest men are out of their beds.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fair and square	figurative	identical	ADP PRON VERB PRON PRON VERB VERB ADP PRON CCONJ VERB ADJ ADJ CCONJ ADJ CCONJ DET ADJ NOUN PART ADP NOUN ADP ADJ NOUN VERB ADP ADP ADJ NOUN	▁If ▁you ▁want ▁her , ▁you ▁can ▁fight ▁for ▁her ▁and ▁win ▁her ▁fair ▁and ▁square , ▁and ▁no ▁more ▁sn ea king ▁in ▁at ▁doors ▁before ▁honest ▁men ▁are ▁out ▁of ▁their ▁beds .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB PRON PRON PRON VERB VERB ADP PRON CCONJ VERB ADJ ADJ CCONJ ADJ ADJ CCONJ DET ADJ NOUN NOUN NOUN PART ADP NOUN ADP ADJ NOUN VERB ADP ADP ADJ NOUN NOUN
We won and we won fair and square.	0 0 0 0 0 1 1 1	fair and square	figurative	identical	PRON VERB CCONJ PRON VERB ADJ CCONJ ADJ	▁We ▁won ▁and ▁we ▁won ▁fair ▁and ▁square .	0 0 0 0 0 1 1 1 1	PRON VERB CCONJ PRON VERB ADJ CCONJ ADJ ADJ
We want to stand upon our own feet and look fair and square at the world -- its good facts, its bad facts, its beauties, and its ugliness ; see the world as it is and be not afraid of it.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fair and square	figurative	identical	PRON VERB PART VERB ADP ADJ ADJ NOUN CCONJ VERB ADJ CCONJ ADJ ADP DET NOUN PUNCT ADJ ADJ NOUN ADJ ADJ NOUN ADJ NOUN CCONJ ADJ NOUN PUNCT VERB DET NOUN ADP PRON VERB CCONJ VERB ADV ADJ ADP PRON	▁We ▁want ▁to ▁stand ▁upon ▁our ▁own ▁feet ▁and ▁look ▁fair ▁and ▁square ▁at ▁the ▁world ▁- - ▁its ▁good ▁facts , ▁its ▁bad ▁facts , ▁its ▁be aut ies , ▁and ▁its ▁u gli ness ▁ ; ▁see ▁the ▁world ▁as ▁it ▁is ▁and ▁be ▁not ▁afraid ▁of ▁it .	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PART VERB ADP ADJ ADJ NOUN CCONJ VERB ADJ CCONJ ADJ ADP DET NOUN PUNCT PUNCT ADJ ADJ NOUN NOUN ADJ ADJ NOUN NOUN ADJ NOUN NOUN NOUN NOUN CCONJ ADJ NOUN NOUN NOUN PUNCT PUNCT VERB DET NOUN ADP PRON VERB CCONJ VERB ADV ADJ ADP PRON PRON
If — and it was a megalithic if, but I supposed we should consider every possible option now we were at it — if, in some weird way the Ghost and her voice really did exist, then as soon as she 'd got over her disappointment, she would have to admit she 'd been defeated fair and square, and would just have to honour the deal and flit off back to heaven or wherever it was she lived now.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fair and square	figurative	identical	ADP PUNCT CCONJ PRON VERB DET NOUN ADP CCONJ PRON VERB PRON VERB VERB DET ADJ NOUN ADV PRON VERB ADP PRON PUNCT ADP ADP DET ADJ NOUN DET PROPN CCONJ ADJ NOUN ADV VERB VERB ADV ADV ADV ADP PRON VERB VERB ADP ADJ NOUN PRON VERB VERB PART VERB PRON VERB VERB VERB ADJ CCONJ ADJ CCONJ VERB ADV VERB PART VERB DET NOUN CCONJ VERB PART ADV ADP PROPN CCONJ ADV PRON VERB PRON VERB ADV	▁If ▁ — ▁and ▁it ▁was ▁a ▁ mega lithi c ▁if , ▁but ▁I ▁supposed ▁we ▁should ▁consider ▁every ▁possible ▁option ▁now ▁we ▁were ▁at ▁it ▁ — ▁if , ▁in ▁some ▁we ir d ▁way ▁the ▁G host ▁and ▁her ▁voice ▁really ▁did ▁exist , ▁then ▁as ▁soon ▁as ▁she ▁' d ▁got ▁over ▁her ▁disappointment , ▁she ▁would ▁have ▁to ▁admit ▁she ▁' d ▁been ▁defeat ed ▁fair ▁and ▁square , ▁and ▁would ▁just ▁have ▁to ▁honour ▁the ▁deal ▁and ▁fl it ▁off ▁back ▁to ▁heaven ▁or ▁wherever ▁it ▁was ▁she ▁lived ▁now .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PUNCT PUNCT CCONJ PRON VERB DET NOUN NOUN NOUN NOUN ADP ADP CCONJ PRON VERB PRON VERB VERB DET ADJ NOUN ADV PRON VERB ADP PRON PUNCT PUNCT ADP ADP ADP DET ADJ ADJ ADJ NOUN DET PROPN PROPN CCONJ ADJ NOUN ADV VERB VERB VERB ADV ADV ADV ADP PRON VERB VERB VERB ADP ADJ NOUN NOUN PRON VERB VERB PART VERB PRON VERB VERB VERB VERB VERB ADJ CCONJ ADJ ADJ CCONJ VERB ADV VERB PART VERB DET NOUN CCONJ VERB VERB PART ADV ADP PROPN CCONJ ADV PRON VERB PRON VERB ADV ADV
We won the match fair and square and that's all there is to it.’	0 0 0 0 1 1 1 0 0 0 0 0 0 0	fair and square	figurative	identical	PRON VERB DET NOUN ADJ CCONJ ADJ CCONJ DET DET ADV VERB PART VERB	▁We ▁won ▁the ▁match ▁fair ▁and ▁square ▁and ▁that ' s ▁all ▁there ▁is ▁to ▁it . ’	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET NOUN ADJ CCONJ ADJ CCONJ DET DET DET DET ADV VERB PART VERB VERB VERB
‘ As far as we were concerned Tblisi had won the tie fair and square.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	fair and square	figurative	identical	PUNCT ADV ADV ADP PRON VERB VERB PROPN VERB VERB DET NOUN ADJ CCONJ ADJ	▁ ‘ ▁As ▁far ▁as ▁we ▁were ▁concerned ▁T b lis i ▁had ▁won ▁the ▁tie ▁fair ▁and ▁square .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PUNCT PUNCT ADV ADV ADP PRON VERB VERB PROPN PROPN PROPN PROPN VERB VERB DET NOUN ADJ CCONJ ADJ ADJ
