You seem fit as a fiddle, Mr Blake.	0 0 1 1 0 1 0 0	fit as a fiddle	figurative	identical	PRON VERB ADJ ADP DET NOUN PROPN PROPN	▁You ▁seem ▁fit ▁as ▁a ▁f iddle , ▁Mr ▁B lak e .	0 0 1 1 0 1 1 1 0 0 0 0 0	PRON VERB ADJ ADP DET NOUN NOUN NOUN PROPN PROPN PROPN PROPN PROPN
Terry replied, ‘ he's retiring next year, fit as a fiddle, but still as soft as shit.’	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	fit as a fiddle	figurative	identical	PROPN VERB PUNCT PRON VERB ADJ NOUN ADJ ADP DET NOUN CCONJ ADV ADV ADJ ADP PROPN	▁Terr y ▁replied , ▁ ‘ ▁he ' s ▁re ti ring ▁next ▁year , ▁fit ▁as ▁a ▁f iddle , ▁but ▁still ▁as ▁soft ▁as ▁sh it . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0	PROPN PROPN VERB VERB PUNCT PUNCT PRON PRON PRON VERB VERB VERB ADJ NOUN NOUN ADJ ADP DET NOUN NOUN NOUN CCONJ ADV ADV ADJ ADP PROPN PROPN PROPN PROPN
However, despite suffering a minor heart attack 15 years ago, Len from Fressingfield, Suffolk, said he felt as ‘ fit as a fiddle’ and intended to make next year's drop.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	fit as a fiddle	figurative	dashes	ADV ADP VERB DET ADJ NOUN NOUN NUM NOUN ADV PROPN ADP PROPN PROPN VERB PRON VERB ADP PUNCT NOUN ADP DET NOUN CCONJ VERB PART VERB ADJ NOUN NOUN	▁However , ▁despite ▁suffering ▁a ▁minor ▁heart ▁attack ▁15 ▁years ▁ago , ▁L en ▁from ▁Fre s s ing field , ▁S uff ol k , ▁said ▁he ▁felt ▁as ▁ ‘ ▁fit ▁as ▁a ▁f iddle ’ ▁and ▁intended ▁to ▁make ▁next ▁year ' s ▁drop .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0	ADV ADV ADP VERB DET ADJ NOUN NOUN NUM NOUN ADV ADV PROPN PROPN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB PRON VERB ADP PUNCT PUNCT NOUN ADP DET NOUN NOUN NOUN CCONJ VERB PART VERB ADJ NOUN NOUN NOUN NOUN NOUN
' Fit as a fiddle, darlin, ' and I can hear, faintly, through the twisted frenzy of my own pelvis, a cheerful rustle as she turns the pages of her magazine.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fit as a fiddle	figurative	case	PUNCT VERB ADP DET NOUN ADJ PUNCT CCONJ PRON VERB VERB ADV ADP DET ADJ NOUN ADP ADJ ADJ NOUN DET ADJ NOUN ADP PRON VERB DET NOUN ADP ADJ NOUN	▁' ▁F it ▁as ▁a ▁f iddle , ▁dar lin , ▁' ▁and ▁I ▁can ▁hear , ▁faint ly , ▁through ▁the ▁twisted ▁f renz y ▁of ▁my ▁own ▁pelvi s , ▁a ▁che er ful ▁ rust le ▁as ▁she ▁turns ▁the ▁pages ▁of ▁her ▁magazine .	0 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT VERB VERB ADP DET NOUN NOUN NOUN ADJ ADJ ADJ PUNCT CCONJ PRON VERB VERB VERB ADV ADV ADV ADP DET ADJ NOUN NOUN NOUN ADP ADJ ADJ NOUN NOUN NOUN DET ADJ ADJ ADJ NOUN NOUN NOUN ADP PRON VERB DET NOUN ADP ADJ NOUN NOUN
I 'm fit as a fiddle!’	0 0 1 1 0 1	fit as a fiddle	figurative	dashes	PRON VERB ADJ ADP DET NOUN	▁I ▁' m ▁fit ▁as ▁a ▁f iddle ! ’	0 0 0 1 1 0 1 1 1 1	PRON VERB VERB ADJ ADP DET NOUN NOUN NOUN NOUN
Mind you I saw her two day's ago and she looked absolutely fit as a fiddle so I said I think it strikes quickly and	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	fit as a fiddle	figurative	identical	VERB PRON PRON VERB PRON NUM NOUN ADV CCONJ PRON VERB ADV ADJ ADP DET NOUN ADP PRON VERB PRON VERB PRON VERB ADV CCONJ	▁Min d ▁you ▁I ▁saw ▁her ▁two ▁day ' s ▁ago ▁and ▁she ▁looked ▁absolutely ▁fit ▁as ▁a ▁f iddle ▁so ▁I ▁said ▁I ▁think ▁it ▁strikes ▁quickly ▁and	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0	VERB VERB PRON PRON VERB PRON NUM NOUN NOUN NOUN ADV CCONJ PRON VERB ADV ADJ ADP DET NOUN NOUN ADP PRON VERB PRON VERB PRON VERB ADV CCONJ
‘ I feel fit as a fiddle,’ Elinor protested.	0 0 0 1 1 0 1 0 0	fit as a fiddle	figurative	dashes	PUNCT PRON VERB ADJ ADP DET ADJ PROPN VERB	▁ ‘ ▁I ▁feel ▁fit ▁as ▁a ▁f iddle , ’ ▁Eli nor ▁protest ed .	0 0 0 0 1 1 0 1 1 1 1 0 0 0 0 0	PUNCT PUNCT PRON VERB ADJ ADP DET ADJ ADJ ADJ ADJ PROPN PROPN VERB VERB VERB
And he did his own gardening, right up, when he was a hundred, he was fit as a fiddle when he was a hundred, doing his own gardening.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	fit as a fiddle	figurative	identical	CCONJ PRON VERB ADJ ADJ NOUN ADV ADV ADV PRON VERB DET NUM PRON VERB ADJ ADP DET NOUN ADV PRON VERB DET NUM VERB ADJ ADJ NOUN	▁And ▁he ▁did ▁his ▁own ▁garden ing , ▁right ▁up , ▁when ▁he ▁was ▁a ▁hundred , ▁he ▁was ▁fit ▁as ▁a ▁f iddle ▁when ▁he ▁was ▁a ▁hundred , ▁doing ▁his ▁own ▁garden ing .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PRON VERB ADJ ADJ NOUN NOUN NOUN ADV ADV ADV ADV PRON VERB DET NUM NUM PRON VERB ADJ ADP DET NOUN NOUN ADV PRON VERB DET NUM NUM VERB ADJ ADJ NOUN NOUN NOUN
‘ I can go on for another three or four years yet because I 'm still as fit as a fiddle,’ he said.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	fit as a fiddle	figurative	dashes	PUNCT PRON VERB VERB PART ADP DET NUM CCONJ NUM NOUN ADV ADP PRON VERB ADV ADV ADJ ADP DET NOUN PRON VERB	▁ ‘ ▁I ▁can ▁go ▁on ▁for ▁another ▁three ▁or ▁four ▁years ▁yet ▁because ▁I ▁' m ▁still ▁as ▁fit ▁as ▁a ▁f iddle , ’ ▁he ▁said .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 1 0 0 0	PUNCT PUNCT PRON VERB VERB PART ADP DET NUM CCONJ NUM NOUN ADV ADP PRON VERB VERB ADV ADV ADJ ADP DET NOUN NOUN NOUN NOUN PRON VERB VERB
Today she's as fit as a fiddle — thanks to research funded by efforts such as Beefy's.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	fit as a fiddle	figurative	identical	NOUN PRON ADV ADJ ADP DET NOUN PUNCT NOUN ADP VERB VERB ADP NOUN ADJ ADP PROPN	▁Today ▁she ' s ▁as ▁fit ▁as ▁a ▁f iddle ▁ — ▁thanks ▁to ▁research ▁funded ▁by ▁efforts ▁such ▁as ▁Beef y ' s .	0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN PRON PRON PRON ADV ADJ ADP DET NOUN NOUN PUNCT PUNCT NOUN ADP VERB VERB ADP NOUN ADJ ADP PROPN PROPN PROPN PROPN PROPN
Better keep fit as a fiddle and ready for anything.’	0 0 1 1 0 1 0 0 0 0	fit as a fiddle	figurative	identical	ADV VERB ADJ ADP DET NOUN CCONJ ADJ ADP NOUN	▁Better ▁keep ▁fit ▁as ▁a ▁f iddle ▁and ▁ready ▁for ▁anything . ’	0 0 1 1 0 1 1 0 0 0 0 0 0	ADV VERB ADJ ADP DET NOUN NOUN CCONJ ADJ ADP NOUN NOUN NOUN
