Most seven year olds sleep for about ten hours at a stretch.	0 0 0 0 0 0 0 0 0 1 0 1	at a stretch	figurative	identical	ADJ NUM NOUN NOUN VERB ADP ADV NUM NOUN ADP DET NOUN	▁Most ▁seven ▁year ▁old s ▁sleep ▁for ▁about ▁ten ▁hours ▁at ▁a ▁stretch .	0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADJ NUM NOUN NOUN NOUN VERB ADP ADV NUM NOUN ADP DET NOUN NOUN
There was a lot of short - pitched bowling, with a vast array of slips and gullies, but Gooch ( 8) survived a low catch to Inzamam off Akram, and Stewart ( 14 ) was put down by the same fielder at full stretch off the same bowler when 14.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	at a stretch	figurative	inflection	ADV VERB DET NOUN ADP ADJ PUNCT VERB NOUN ADP DET ADJ NOUN ADP NOUN CCONJ NOUN CCONJ PROPN PUNCT ADV VERB DET ADJ NOUN ADP PROPN ADP PROPN CCONJ PROPN PUNCT NUM PUNCT VERB VERB PART ADP DET ADJ NOUN ADP ADJ NOUN ADP DET ADJ NOUN ADV NUM	▁There ▁was ▁a ▁lot ▁of ▁short ▁- ▁pitch ed ▁bowl ing , ▁with ▁a ▁vast ▁array ▁of ▁slip s ▁and ▁g ull ies , ▁but ▁Go och ▁( ▁8 ) ▁survive d ▁a ▁low ▁catch ▁to ▁In za m am ▁off ▁Ak ram , ▁and ▁Ste wart ▁( ▁14 ▁ ) ▁was ▁put ▁down ▁by ▁the ▁same ▁field er ▁at ▁full ▁stretch ▁off ▁the ▁same ▁bowl er ▁when ▁14.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	ADV VERB DET NOUN ADP ADJ PUNCT VERB VERB NOUN NOUN NOUN ADP DET ADJ NOUN ADP NOUN NOUN CCONJ NOUN NOUN NOUN NOUN CCONJ PROPN PROPN PUNCT ADV ADV VERB VERB DET ADJ NOUN ADP PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN CCONJ PROPN PROPN PUNCT NUM PUNCT PUNCT VERB VERB PART ADP DET ADJ NOUN NOUN ADP ADJ NOUN ADP DET ADJ NOUN NOUN ADV NUM
Trainee dealers put on debt collecting for more than a day or two at a stretch would often walk out of Harvard from sheer boredom and frustration.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	at a stretch	figurative	identical	NOUN NOUN VERB ADP NOUN NOUN ADP ADJ ADP DET NOUN CCONJ NUM ADP DET NOUN VERB ADV VERB ADP ADP PROPN ADP ADJ NOUN CCONJ NOUN	▁Train ee ▁dealers ▁put ▁on ▁debt ▁collecting ▁for ▁more ▁than ▁a ▁day ▁or ▁two ▁at ▁a ▁stretch ▁would ▁often ▁walk ▁out ▁of ▁Har var d ▁from ▁she er ▁bore dom ▁and ▁frustration .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN VERB ADP NOUN NOUN ADP ADJ ADP DET NOUN CCONJ NUM ADP DET NOUN VERB ADV VERB ADP ADP PROPN PROPN PROPN ADP ADJ ADJ NOUN NOUN CCONJ NOUN NOUN
Martha, who was a poor apprentice at a milliner's, then told them what kind of work she had to do, and how many hours she worked at a stretch, and how she meant to lie a - bed tomorrow morning for a good long rest ; tomorrow being a holiday she passed at home.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at a stretch	figurative	identical	PROPN NOUN VERB DET ADJ NOUN ADP DET NOUN ADV VERB PRON ADJ NOUN ADP NOUN PRON VERB PART VERB CCONJ ADV ADJ NOUN PRON VERB ADP DET NOUN CCONJ ADV PRON VERB PART VERB DET PUNCT NOUN NOUN NOUN ADP DET ADJ ADJ NOUN PUNCT NOUN VERB DET NOUN PRON VERB ADP NOUN	▁Mart ha , ▁who ▁was ▁a ▁poor ▁apprentice ▁at ▁a ▁milli ner ' s , ▁then ▁told ▁them ▁what ▁kind ▁of ▁work ▁she ▁had ▁to ▁do , ▁and ▁how ▁many ▁hours ▁she ▁worked ▁at ▁a ▁stretch , ▁and ▁how ▁she ▁meant ▁to ▁lie ▁a ▁- ▁be d ▁tomorrow ▁morning ▁for ▁a ▁good ▁long ▁rest ▁ ; ▁tomorrow ▁being ▁a ▁holiday ▁she ▁passed ▁at ▁home .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN NOUN VERB DET ADJ NOUN ADP DET NOUN NOUN NOUN NOUN NOUN ADV VERB PRON ADJ NOUN ADP NOUN PRON VERB PART VERB VERB CCONJ ADV ADJ NOUN PRON VERB ADP DET NOUN NOUN CCONJ ADV PRON VERB PART VERB DET PUNCT NOUN NOUN NOUN NOUN ADP DET ADJ ADJ NOUN PUNCT PUNCT NOUN VERB DET NOUN PRON VERB ADP NOUN NOUN
The Führer's claim that his work had been sabotaged for years, and that the German war machine could run at full stretch now that the last plot had been foiled, was seen to demonstrate that the people had long been lied to in earlier statements that time was on Germany's side and war production increasing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at a stretch	figurative	inflection	DET PROPN NOUN ADP ADJ NOUN VERB VERB VERB ADP NOUN CCONJ ADP DET ADJ NOUN NOUN VERB VERB ADP ADJ NOUN ADV ADP DET ADJ NOUN VERB VERB VERB VERB VERB PART VERB ADP DET NOUN VERB ADV VERB VERB ADP ADP ADJ NOUN ADP NOUN VERB ADP PROPN NOUN CCONJ NOUN NOUN VERB	▁The ▁F üh r er ' s ▁claim ▁that ▁his ▁work ▁had ▁been ▁sabotage d ▁for ▁years , ▁and ▁that ▁the ▁German ▁war ▁machine ▁could ▁run ▁at ▁full ▁stretch ▁now ▁that ▁the ▁last ▁plot ▁had ▁been ▁foil ed , ▁was ▁seen ▁to ▁demonstrate ▁that ▁the ▁people ▁had ▁long ▁been ▁ lied ▁to ▁in ▁earlier ▁statements ▁that ▁time ▁was ▁on ▁Germany ' s ▁side ▁and ▁war ▁production ▁increasing .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET PROPN PROPN PROPN PROPN PROPN PROPN NOUN ADP ADJ NOUN VERB VERB VERB VERB ADP NOUN NOUN CCONJ ADP DET ADJ NOUN NOUN VERB VERB ADP ADJ NOUN ADV ADP DET ADJ NOUN VERB VERB VERB VERB VERB VERB VERB PART VERB ADP DET NOUN VERB ADV VERB VERB VERB ADP ADP ADJ NOUN ADP NOUN VERB ADP PROPN PROPN PROPN NOUN CCONJ NOUN NOUN VERB VERB
I realise that, if I am accepted, once I have completed my degree I may often have to work for over 80 hours at a stretch during a weekend on call.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	at a stretch	figurative	identical	PRON VERB ADP ADP PRON VERB VERB ADP PRON VERB VERB ADJ NOUN PRON VERB ADV VERB PART VERB ADP ADP NUM NOUN ADP DET NOUN ADP DET NOUN ADP NOUN	▁I ▁realise ▁that , ▁if ▁I ▁am ▁accepted , ▁once ▁I ▁have ▁completed ▁my ▁degree ▁I ▁may ▁often ▁have ▁to ▁work ▁for ▁over ▁80 ▁hours ▁at ▁a ▁stretch ▁during ▁a ▁weekend ▁on ▁call .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	PRON VERB ADP ADP ADP PRON VERB VERB VERB ADP PRON VERB VERB ADJ NOUN PRON VERB ADV VERB PART VERB ADP ADP NUM NOUN ADP DET NOUN ADP DET NOUN ADP NOUN NOUN
She took a look over her shoulder and saw a horse and rider behind her and at full stretch, but with the sun in her eyes, Artemis couldn't distinguish who it was.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	at a stretch	figurative	inflection	PRON VERB DET NOUN ADP ADJ NOUN CCONJ VERB DET NOUN CCONJ NOUN ADP PRON CCONJ ADP ADJ NOUN CCONJ ADP DET NOUN ADP ADJ NOUN PROPN VERB VERB NOUN PRON VERB	▁She ▁took ▁a ▁look ▁over ▁her ▁shoulder ▁and ▁saw ▁a ▁horse ▁and ▁rid er ▁behind ▁her ▁and ▁at ▁full ▁stretch , ▁but ▁with ▁the ▁sun ▁in ▁her ▁eyes , ▁Art emi s ▁could n ' t ▁distinguish ▁who ▁it ▁was .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET NOUN ADP ADJ NOUN CCONJ VERB DET NOUN CCONJ NOUN NOUN ADP PRON CCONJ ADP ADJ NOUN NOUN CCONJ ADP DET NOUN ADP ADJ NOUN NOUN PROPN PROPN PROPN VERB VERB VERB VERB VERB NOUN PRON VERB VERB
I was pleasantly surprised at how light the detector was, for when I have the free time to get out, I like to put as many hours in at a stretch as possible.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	at a stretch	figurative	identical	PRON VERB ADV ADJ ADP ADV ADJ DET NOUN VERB ADP ADV PRON VERB DET ADJ NOUN PART VERB PART PRON VERB PART VERB ADV ADJ NOUN ADP ADP DET NOUN ADP ADJ	▁I ▁was ▁pleasant ly ▁surprised ▁at ▁how ▁light ▁the ▁detector ▁was , ▁for ▁when ▁I ▁have ▁the ▁free ▁time ▁to ▁get ▁out , ▁I ▁like ▁to ▁put ▁as ▁many ▁hours ▁in ▁at ▁a ▁stretch ▁as ▁possible .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	PRON VERB ADV ADV ADJ ADP ADV ADJ DET NOUN VERB VERB ADP ADV PRON VERB DET ADJ NOUN PART VERB PART PART PRON VERB PART VERB ADV ADJ NOUN ADP ADP DET NOUN ADP ADJ ADJ
Though the crews drove 24 hours at a stretch, unable to wear gasmasks because they fogged up, still there seemed to be more wounded than the ambulances could hold.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at a stretch	figurative	identical	ADP DET NOUN VERB NUM NOUN ADP DET NOUN ADJ PART VERB NOUN ADP PRON VERB PART ADV ADV VERB PART VERB ADV ADJ ADP DET NOUN VERB VERB	▁Though ▁the ▁crew s ▁ dro ve ▁24 ▁hours ▁at ▁a ▁stretch , ▁unable ▁to ▁wear ▁gas mas ks ▁because ▁they ▁f ogged ▁up , ▁still ▁there ▁seemed ▁to ▁be ▁more ▁wound ed ▁than ▁the ▁ambulance s ▁could ▁hold .	0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN NOUN VERB VERB VERB NUM NOUN ADP DET NOUN NOUN ADJ PART VERB NOUN NOUN NOUN ADP PRON VERB VERB PART PART ADV ADV VERB PART VERB ADV ADJ ADJ ADP DET NOUN NOUN VERB VERB VERB
He had no desire to defeat boredom by provoking political excitement and keeping himself constantly at a stretch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	at a stretch	figurative	identical	PRON VERB DET NOUN PART VERB NOUN ADP VERB ADJ NOUN CCONJ VERB PRON ADV ADP DET NOUN	▁He ▁had ▁no ▁desire ▁to ▁defeat ▁bore dom ▁by ▁pro voking ▁political ▁excitement ▁and ▁keeping ▁himself ▁constantly ▁at ▁a ▁stretch .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB DET NOUN PART VERB NOUN NOUN ADP VERB VERB ADJ NOUN CCONJ VERB PRON ADV ADP DET NOUN NOUN
At a stretch the Dragon Cloud could seat five thousand.	1 0 1 0 0 0 0 0 0 0	at a stretch	figurative	case	ADP DET NOUN DET PROPN PROPN VERB VERB NUM NUM	▁At ▁a ▁stretch ▁the ▁Dr agon ▁Clo ud ▁could ▁seat ▁five ▁thousand .	1 0 1 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN DET PROPN PROPN PROPN PROPN VERB VERB NUM NUM NUM
